support_tick_id,category,tags,priority,suggested_eta,generated_reply,sentiment
ST2023-006,connectivity issues,"internet connectivity, slow performance",high,4 hours,"Hello, I'm sorry to hear that you're experiencing slow internet speeds and frequent disconnections, which can be frustrating when working from home. Our team is committed to helping you resolve this connectivity issue as soon as possible. We will investigate the problem and work diligently to restore your internet connection to its normal speed. Thank you for your patience and understanding.",negative
ST2023-007,Hardware Issues,"Laptop, Startup Issue",High,4 hours,"Hello! I'm sorry to hear about the trouble you're facing with your laptop. I understand the urgency of the situation, and I'll do my best to assist you promptly. We'll work together to get your laptop up and running again. Please provide any additional details or error messages you've encountered during the startup process. Thank you for reaching out, and I'll be in touch with you shortly to resolve this issue.",Negative
ST2023-008,Data Recovery,Data Loss,High,1 day,"Hello, I'm sorry to hear about the data loss you've experienced. We understand the urgency of this situation and will prioritize the data recovery process for you. Please refrain from any further actions on your device to avoid potential complications. Our team will reach out to you shortly with the necessary steps and guidance to recover your essential work documents. We appreciate your patience and understanding during this process.",Negative
ST2023-009,connectivity issues,"internet connectivity, weak signal",medium,4 hours,"Hello, I'm sorry to hear that you're experiencing weak Wi-Fi signal issues. I'll be happy to assist you in troubleshooting and resolving this problem. Please allow me a few hours to investigate and provide a solution. Thank you for your patience.",neutral
ST2023-010,hardware issues,"battery, smartphone",medium,4 hours,"Hello! I'm sorry to hear that you're experiencing rapid battery drain on your smartphone. I'll do my best to assist you in identifying and resolving the issue. Please provide me with the make and model of your smartphone, as well as any recent changes or updates you've made to the device. I'll guide you through some troubleshooting steps and offer further assistance if needed. Thank you for reaching out, and I hope we can get your battery issue resolved soon.",neutral
ST2023-011,technical issues,"password reset, online banking",high,1 hour,"Hello, I'm sorry to hear that you're experiencing difficulty accessing your online banking account. I understand the urgency of your situation and will do my best to assist you promptly. Please provide any relevant details or error messages you've encountered, and I'll guide you through the password reset process as soon as possible.",negative
ST2023-012,technical issues,slow performance,high,4 hours,"Hello, I'm sorry to hear that your computer's performance is affecting your work. I'll do my best to help you optimize it and regain productivity. Please provide any recent changes or updates you've made to your system, and I'll get started on troubleshooting right away.",negative
ST2023-013,hardware issues,"blue screen error, crashes",high,4 hours,"Hello, I'm sorry to hear about the recurring blue screen error on your PC. We'll do our best to diagnose and resolve this hardware issue promptly. Please provide any recent changes or updates made to your system, and we'll get started on troubleshooting right away. Thank you for your patience.",negative
ST2023-014,hardware issues,"data loss, hardware failure",high,1 day,"Hello, I'm sorry to hear about the issue with your external hard drive. We understand the importance of your data and will do our best to assist you in recovering it. Our technical team will prioritize this issue and work diligently to provide a resolution as soon as possible. Please allow us approximately 1 day to investigate and implement the necessary steps to recover your data. We appreciate your patience and understanding during this process. Thank you for reaching out to us.",negative
ST2023-015,hardware issues,"graphics card, gaming laptop, poor performance",high,1 day,"Hello! I'm sorry to hear that you're experiencing issues with your gaming laptop's graphics card. We'll do our best to assist you in diagnosing and resolving this hardware problem. Please provide any additional details or error messages you've encountered, and we'll get started on finding a solution as soon as possible. Thank you for your patience.",neutral
